,date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,tic,ema12,ema26,macd,rsi_30,boll_ub,boll_lb
0,2024-02-20,601138,17.32,17.91,18.41,17.03,3053232,5554868237.0,8.27,7.31,1.22,1.54,sh601138,14.996804162022139,14.273911749008905,0.7228924130132341,82.70683522300595,17.253266559725873,11.669179771077747
1,2024-02-21,601138,17.15,16.97,17.28,16.67,2485909,4361411875.0,3.41,-5.25,-0.94,1.25,sh601138,15.300372752480271,14.47362198982306,0.8267507626572108,68.99076469304758,17.661144702913955,11.739163882098847
2,2024-02-22,601138,17.67,17.61,17.99,16.73,2593071,4644717973.0,7.42,3.77,0.64,1.31,sh601138,15.65570002132946,14.705946286873203,0.949753734456257,72.56507396408531,18.109145193260964,11.845419716988715
3,2024-02-23,601138,18.24,17.59,18.37,17.48,2237459,4126150026.0,5.05,-0.11,-0.02,1.13,sh601138,15.95328463343262,14.919579895252967,1.0337047381796527,72.26472554037974,18.56250911468278,11.889716280305025
4,2024-02-26,601138,17.02,17.09,17.43,16.93,1767651,3139609159.0,2.84,-2.84,-0.5,0.89,sh601138,16.128163920596833,15.080351754863859,1.0478121657329744,64.55695673690886,18.848026111312677,11.959225436533435
5,2024-02-27,601138,17.01,18.75,18.86,16.81,2863760,5308530292.0,12.0,9.71,1.66,1.44,sh601138,16.53152331742809,15.352177550799869,1.17934576662822,74.83793754205536,19.51692312925287,11.927733033084087
6,2024-02-28,601138,18.47,17.62,18.71,17.62,2194145,4136701239.0,5.81,-6.03,-1.13,1.11,sh601138,16.698981268593,15.520164398888767,1.1788168697042316,60.951100035208256,19.797041142141016,12.00907633806861
7,2024-02-29,601138,17.58,18.11,18.48,17.5,1824980,3398084193.0,5.56,2.78,0.49,0.92,sh601138,16.916061073424842,15.712004073045154,1.204057000379688,64.26850348938666,20.12730456612552,12.099182677873667
8,2024-03-01,601138,18.47,19.44,19.88,18.47,2481166,4892950969.0,7.79,7.34,1.33,1.25,sh601138,17.30435936982102,15.988151919486253,1.316207450334769,71.77758925166577,20.75949845511621,12.100656670406863
9,2024-03-04,601138,20.22,21.44,21.44,19.86,2681951,5710595359.0,8.13,10.29,2.0,1.35,sh601138,17.940611774463942,16.391992518042827,1.5486192564211159,79.31875898754137,21.798295789002786,12.016130276946663
10,2024-03-05,601138,21.12,22.17,23.6,20.95,3097571,7050812139.0,12.36,3.4,0.73,1.56,sh601138,18.591286886084873,16.819993072261877,1.7712938138229966,81.41069558719164,22.73438358338222,12.082478095333947
11,2024-03-06,601138,21.49,21.43,21.97,21.12,2302577,5085112589.0,3.83,-3.34,-0.74,1.16,sh601138,19.028011980533353,17.161475066909144,1.8665369136242091,72.7978397008662,23.215799139688627,12.36707571248314
12,2024-03-07,601138,21.89,22.03,22.63,21.28,2702907,6085421452.0,6.3,2.8,0.6,1.36,sh601138,19.48985629122053,17.522106543434393,1.9677497477861365,75.24773794662711,23.639287531007735,12.750932573338151
13,2024-03-08,601138,22.52,24.29,24.29,22.08,2857208,6824257680.0,10.03,10.26,2.26,1.44,sh601138,20.228339938725064,18.023431984661475,2.2049079540635894,82.2108679729716,24.722690409079703,12.828461113899907
14,2024-03-11,601138,23.1,25.24,26.17,22.82,3359710,8195001191.0,13.79,3.91,0.95,1.69,sh601138,20.999364563536595,18.55799257839025,2.4413719851463433,84.3466632075705,25.713841604047953,13.068628821505026
15,2024-03-12,601138,24.68,24.22,24.9,23.49,3125177,7726114946.0,5.59,-4.04,-1.02,1.58,sh601138,21.49484693837712,18.97740053554653,2.51744640283059,73.42533924756668,26.268611673681068,13.433623473247817
16,2024-03-13,601138,24.96,23.77,26.4,23.51,4920400,12619421139.0,11.93,-1.86,-0.45,2.48,sh601138,21.844870486319103,19.332407903283823,2.51246258303528,68.88496085583466,26.633152472722635,13.815536469736832
17,2024-03-14,601138,22.19,22.27,22.69,21.41,5506132,12448108454.0,5.38,-6.31,-1.5,2.78,sh601138,21.910275026885394,19.550007317855393,2.3602677090300013,55.649624649284235,26.49590130879897,14.342436305807219
18,2024-03-15,601138,21.91,22.5,22.7,21.88,3583236,8214079652.0,3.68,1.03,0.23,1.81,sh601138,22.001001945826104,19.76852529431055,2.2324766515155545,57.107681857177376,26.335112738606217,14.899573674608906
19,2024-03-18,601138,22.87,24.43,24.72,22.78,4248136,10433641458.0,8.62,8.58,1.93,2.14,sh601138,22.37469395416055,20.11381971695421,2.2608742372063375,67.46424275485754,26.70092961816269,15.259977136650994
20,2024-03-19,601138,23.82,24.93,25.53,23.55,3791375,9516654769.0,8.1,2.05,0.5,1.91,sh601138,22.76781796121277,20.47057381199464,2.2972441492181304,69.65448033277515,27.204952669387207,15.508248680206126
21,2024-03-20,601138,24.72,24.5,25.25,23.99,2989026,7531928513.0,5.05,-1.72,-0.43,1.51,sh601138,23.034307505641575,20.769049825920963,2.2652576797206123,65.2929117929676,27.353776879564393,15.958167198639094
22,2024-03-21,601138,24.5,24.41,25.22,24.16,2697026,6810420622.0,4.33,-0.37,-0.09,1.36,sh601138,23.24595250477364,21.038749838815708,2.207202665957933,64.32024675068223,27.455127381453416,16.381393451206883
23,2024-03-22,601138,24.24,23.85,24.77,23.53,2603640,6429464240.0,5.08,-2.29,-0.56,1.31,sh601138,23.338882888654616,21.246990591496026,2.0918922971585907,58.105700347276056,27.333624581991486,16.87084664755831
24,2024-03-25,601138,24.27,23.33,24.42,23.29,2339728,5719688823.0,4.74,-2.18,-0.52,1.18,sh601138,23.33751629040006,21.401287584718542,1.9362287056815184,52.65486048643606,26.90184259084154,17.536488521608277
25,2024-03-26,601138,23.42,23.15,23.72,22.42,2463439,5848714351.0,5.57,-0.77,-0.18,1.24,sh601138,23.308667630338512,21.530821837702355,1.7778457926361568,50.75323292682273,26.663242714304864,17.952390196959257
26,2024-03-27,601138,22.79,21.83,23.09,21.78,2376320,5453341226.0,5.66,-5.7,-1.32,1.2,sh601138,23.081180302594124,21.552983183057737,1.5281971195363866,38.873849958473606,25.948324091143505,18.576296161904985
27,2024-03-28,601138,21.84,22.87,23.53,21.84,2756411,6411695654.0,7.74,4.76,1.04,1.39,sh601138,23.04869102527195,21.65053998431272,1.398151040959231,49.59845558720795,25.250064099836074,19.39030660530304
28,2024-03-29,601138,22.56,22.19,22.6,21.75,1693523,3846707807.0,3.72,-2.97,-0.68,0.85,sh601138,22.916584713691652,21.69049998547474,1.226084728216911,43.800712777297264,24.727085253981212,19.888488241144653
29,2024-04-01,601138,22.32,22.73,22.92,22.0,1699460,3938504686.0,4.15,2.43,0.54,0.86,sh601138,22.887879373123706,21.767499986550686,1.1203793865730205,49.2377737891553,24.62983520475033,20.066159862268314
30,2024-04-02,601138,22.66,22.32,23.1,22.14,1538554,3555487009.0,4.22,-1.8,-0.41,0.78,sh601138,22.80051331572006,21.808425913472856,0.9920874022472042,45.39063657676185,24.612371602394628,20.078290601098427
31,2024-04-03,601138,22.12,21.34,22.16,21.16,1768837,3905145590.0,4.48,-4.39,-0.98,0.89,sh601138,22.575818959455436,21.773727697660053,0.8020912617953826,37.343453650950025,24.53267644653758,19.966494118527564
32,2024-04-08,601138,21.12,21.42,21.81,21.0,1223888,2705714760.0,3.8,0.37,0.08,0.62,sh601138,22.398000658000754,21.74752564598153,0.6504750120192249,38.37256766372453,24.540320428737544,19.800833892035676
33,2024-04-09,601138,21.57,21.31,21.58,20.72,1372388,2976232278.0,4.01,-0.51,-0.11,0.69,sh601138,22.230615941385253,21.715116338871784,0.5154996025134686,37.39803493973222,24.563259138012533,19.613975723639427
34,2024-04-10,601138,21.11,20.52,21.29,20.35,1236589,2620631468.0,4.41,-3.71,-0.79,0.62,sh601138,21.967444258095217,21.62658920265906,0.34085505543615824,30.895865963869824,24.466511961070278,19.411938628043398
35,2024-04-11,601138,20.65,20.67,21.07,20.52,1355528,2899217552.0,2.68,0.73,0.15,0.68,sh601138,21.76783744915749,21.555730743202833,0.21210670595465686,33.43152104262397,24.450152958941565,19.186540431208904
36,2024-04-12,601138,21.22,21.68,22.34,21.13,2543958,5686706943.0,5.85,4.89,1.01,1.28,sh601138,21.754323995440952,21.56493587333596,0.18938812210499378,48.19889289662853,24.4268848027101,19.183456835997468
37,2024-04-15,601138,21.3,21.66,21.97,21.12,1492917,3313784495.0,3.92,-0.09,-0.02,0.75,sh601138,21.73981261152696,21.571977660496255,0.16783495103070578,47.95582228828047,24.443848114983318,19.138841939085438
38,2024-04-16,601138,20.95,21.23,21.79,20.82,1243881,2714956237.0,4.48,-1.99,-0.43,0.63,sh601138,21.661379902061274,21.546645981940976,0.11473392012029748,42.6233420897147,24.45858222907629,19.017184962700203
39,2024-04-17,601138,21.92,21.92,22.28,21.16,2048865,4573338864.0,5.28,3.25,0.69,1.03,sh601138,21.701167609436464,21.574301835130534,0.12686577430593005,52.4193068790515,24.332448876724627,19.178007153930295
40,2024-04-18,601138,21.28,22.32,22.91,20.74,2326484,5211279395.0,9.9,1.82,0.4,1.17,sh601138,21.796372592600086,21.629538736231975,0.1668338563681111,57.29614012930055,24.092972454927345,19.52505919185568
41,2024-04-19,601138,21.83,21.47,21.92,20.86,1885986,4146330681.0,4.75,-3.81,-0.85,0.95,sh601138,21.746161424507765,21.617721052066642,0.12844037244112272,45.78883609771414,23.825645132228583,19.727812072003676
42,2024-04-22,601138,19.8,20.26,20.52,19.37,1723170,3546511611.0,5.36,-5.64,-1.21,0.87,sh601138,21.517521205352722,21.51714912228393,0.0003720830687932164,34.430673309879055,23.536315797386997,19.72824072072791
43,2024-04-23,601138,20.47,20.01,20.61,19.78,1040598,2158505427.0,4.1,-1.23,-0.25,0.52,sh601138,21.285594866067687,21.405508446559192,-0.11991358049150591,32.508268402843,23.329071273291706,19.62647986214559
44,2024-04-24,601138,20.44,21.66,22.01,20.34,2237521,4867851884.0,8.35,8.25,1.65,1.13,sh601138,21.34319565590343,21.424359672739993,-0.08116401683656349,52.643960679482426,23.182440186875844,19.807820364234097
45,2024-04-25,601138,21.08,21.61,21.91,20.98,1199373,2644030377.0,4.29,-0.23,-0.05,0.6,sh601138,21.38424247807213,21.438110808092585,-0.053868330020453215,52.10047061663067,23.033956990773973,19.97818350784931
46,2024-04-26,601138,22.64,23.83,23.83,22.62,3527524,8519029870.0,5.6,10.27,2.22,1.78,sh601138,21.760512866061035,21.61528778527091,0.14522508079012297,68.67060266526774,23.562985425418574,19.891808359050103
47,2024-04-29,601138,24.18,23.94,24.18,23.59,2566889,6273636106.0,2.48,0.46,0.11,1.29,sh601138,22.095818578974722,21.787488690065658,0.3083298889090642,69.27821802413793,23.974676138679683,19.901565856791983
48,2024-04-30,601138,24.72,23.92,24.72,23.87,2305375,5712943191.0,3.55,-0.08,-0.02,1.16,sh601138,22.376461874517073,21.945452490801536,0.4310093837155371,68.99748392076447,24.385141792994574,19.868600964813126
49,2024-05-06,601138,24.42,24.24,24.72,23.82,1715148,4260075771.0,3.76,1.34,0.32,0.86,sh601138,22.663160047668292,22.115418972964385,0.5477410747039073,71.15538300851799,24.80860788155192,19.847635565988384
50,2024-05-07,601138,24.62,24.8,25.41,24.09,2409142,6122501658.0,5.45,2.31,0.56,1.21,sh601138,22.991904655719324,22.314276826818876,0.677627828900448,74.70982893988237,25.36647306712571,19.760604337791705
51,2024-05-08,601138,24.16,23.88,24.62,23.83,1411925,3488052621.0,3.19,-3.71,-0.92,0.71,sh601138,23.12853470868558,22.43025632112859,0.6982783875569929,60.56291759961939,25.59598810784,19.781843829942424
52,2024-05-09,601138,23.72,23.64,23.92,23.18,1433468,3459862019.0,3.1,-1.01,-0.24,0.72,sh601138,23.207221676580104,22.519866964007953,0.6873547125721515,57.29712897545552,25.74340657886577,19.815584221984995
53,2024-05-10,601138,23.42,23.34,23.61,22.94,974638,2323699523.0,2.83,-1.27,-0.3,0.49,sh601138,23.2276491109524,22.580617559266624,0.6470315516857745,53.16242885088539,25.80337736891356,19.862376212808563
54,2024-05-13,601138,23.35,23.42,23.76,23.22,1012136,2434496045.0,2.31,0.34,0.08,0.51,sh601138,23.25724155542126,22.642794036357987,0.6144475190632726,54.179812279046146,25.769030850270926,20.008555723668135
55,2024-05-14,601138,23.82,23.22,23.91,22.88,1146807,2746620742.0,4.4,-0.85,-0.2,0.58,sh601138,23.25151208535645,22.685550033664803,0.5659620516916455,50.98517106876166,25.687694443934955,20.15297912296229
56,2024-05-15,601138,23.3,23.72,24.42,23.17,1425040,3493813893.0,5.38,2.15,0.5,0.72,sh601138,23.323587149147762,22.76217595709704,0.5614111920507234,58.11011817095909,25.77105992092209,20.221930449127797
57,2024-05-16,601138,25.15,25.0,25.84,24.83,2411610,6231606320.0,4.26,5.4,1.28,1.22,sh601138,23.581496818509645,22.927940701015775,0.6535561174938707,70.69367443081453,26.095987451802895,20.278622883004143
58,2024-05-17,601138,24.62,25.12,25.22,24.52,1387359,3532613919.0,2.8,0.48,0.12,0.7,sh601138,23.818189615662007,23.090315463903497,0.7278741517585097,71.61600574427234,26.33755549351115,20.40518719036189
59,2024-05-20,601138,24.72,25.64,25.65,24.43,1715322,4424493397.0,4.86,2.07,0.52,0.86,sh601138,24.09846813632939,23.27918098509583,0.81928715123356,75.47523395509677,26.713279983078163,20.461582445187926
60,2024-05-21,601138,25.36,25.14,25.62,24.88,1117078,2880736926.0,2.89,-1.95,-0.5,0.56,sh601138,24.25870380766333,23.417019430644288,0.8416843770190425,65.58223959498032,26.937603943376768,20.532985872673503
61,2024-05-22,601138,25.11,24.85,25.28,24.61,986842,2511330102.0,2.67,-1.15,-0.29,0.5,sh601138,24.349672452638202,23.523166139485454,0.8265063131527484,60.293304014395815,26.972420492397067,20.710494103076993
62,2024-05-23,601138,25.42,25.04,25.6,23.86,1818487,4611253745.0,7.0,0.76,0.19,0.92,sh601138,24.455876690693863,23.635524203227273,0.8203524874665895,62.57494837382191,26.735334613838194,21.17587382968596
63,2024-05-24,601138,24.62,23.57,25.32,23.48,2051195,5084389549.0,7.35,-5.87,-1.47,1.03,sh601138,24.319587969048655,23.63067055854377,0.6889174105048852,41.35888953217754,26.058765890054495,21.778994130276885
64,2024-05-27,601138,24.02,24.28,24.74,23.93,1466062,3646699891.0,3.44,3.01,0.71,0.74,sh601138,24.313497512271937,23.678769035688674,0.6347284765832626,50.67834925136781,25.795490732543875,22.111054047755943
65,2024-05-28,601138,24.07,23.54,24.32,23.52,985647,2403414902.0,3.29,-3.05,-0.74,0.5,sh601138,24.19449789499933,23.668489847859885,0.5260080471394453,42.54674604306167,25.365522385219403,22.462303844575676
66,2024-05-29,601138,24.17,23.63,24.24,23.52,902703,2201683548.0,3.06,0.38,0.09,0.46,sh601138,24.107652064999435,23.66563874801841,0.44201331698102564,43.811938129524094,25.352095507029514,22.421652034213654
67,2024-05-30,601138,23.42,23.36,23.7,23.12,710186,1704977226.0,2.45,-1.14,-0.27,0.36,sh601138,23.99262867038414,23.642998840757787,0.3496298296263518,40.708812013577024,25.345600461354472,22.32779017119887
68,2024-05-31,601138,23.09,22.33,23.5,22.33,1391132,3246306827.0,5.01,-4.41,-1.03,0.7,sh601138,23.73683964417119,23.545739667368323,0.1910999768028674,31.033600075797708,25.410206486291322,21.976194562209315
69,2024-06-03,601138,22.33,23.29,23.56,22.32,1556125,3677729130.0,5.55,4.3,0.96,0.78,sh601138,23.66809508352947,23.526795988304006,0.14129909522546313,45.072776199895074,25.406316809867675,21.90328413877576
70,2024-06-04,601138,23.29,23.21,23.32,22.87,821074,1943067318.0,1.93,-0.34,-0.08,0.41,sh601138,23.597618916832626,23.503329618800006,0.09428929803262065,44.2074766983483,25.363142442964904,21.86173460580773
71,2024-06-05,601138,23.09,23.12,23.39,22.88,732816,1740337548.0,2.2,-0.39,-0.09,0.37,sh601138,23.52413908347376,23.474934832222228,0.04920425125153116,43.13260105348066,25.356183135852266,21.774896098751544
72,2024-06-06,601138,24.3,25.49,25.49,24.3,2979325,7674821765.0,5.15,10.25,2.37,1.5,sh601138,23.826579224477797,23.624198918724286,0.20238030575351118,67.29469097243444,25.66466656927367,21.83297654774882
73,2024-06-07,601138,25.27,23.95,25.56,23.3,2956978,7341980763.0,8.87,-6.04,-1.54,1.49,sh601138,23.845567036096597,23.64833233215212,0.19723470394447773,51.03649783647992,25.657792316801643,21.878170503361563
74,2024-06-11,601138,23.92,23.63,24.47,23.46,1610391,3945047341.0,4.22,-1.34,-0.32,0.81,sh601138,23.81240287669712,23.646974381622332,0.16542849507478863,48.24205981164008,25.63229969293042,21.87738095388391
75,2024-06-12,601138,23.97,23.79,24.9,23.73,1934349,4803851921.0,4.95,0.68,0.16,0.98,sh601138,23.808956280282178,23.657568871872527,0.1513874084096507,49.826960095755354,25.599132557962346,21.917245170107766
76,2024-06-13,601138,24.22,25.32,26.01,24.19,2381979,6133068310.0,7.65,6.43,1.53,1.2,sh601138,24.04142454485415,23.78071191840049,0.26071262645366033,62.497705262219704,25.818785011226243,21.995080552265765
77,2024-06-14,601138,25.47,26.65,27.14,25.26,2284523,6138937770.0,7.42,5.25,1.33,1.15,sh601138,24.442743845645815,23.99325177629675,0.44949206934906627,70.07722551654062,26.354449039169218,21.98190551827593
78,2024-06-17,601138,26.49,26.93,27.41,26.1,2043932,5592828643.0,4.92,1.05,0.28,1.03,sh601138,24.82539863862338,24.21078868175625,0.614609956867131,71.47753868229614,26.90101388755331,21.961402140611348
79,2024-06-18,601138,26.95,28.04,28.33,26.95,2054130,5829921762.0,5.12,4.12,1.11,1.04,sh601138,25.319952694219783,24.49443396458912,0.8255187296306623,76.50655334930694,27.701956693381845,21.847848284481415
80,2024-06-19,601138,28.61,27.89,28.69,27.71,1422463,4069391664.0,3.5,-0.53,-0.15,0.72,sh601138,25.71534458741674,24.745957374619554,0.9693872127971872,74.45948603666471,28.368521045190736,21.774635839542693
